ativo,retornoBruto,retornoPercentual,LN
ROSEUSDT,0.0,NaN,NaN
RSRUSDT,0.0,NaN,NaN
RUNEUSDT,0.0,NaN,NaN
RVNUSDT,-3.0466666666667183E-4,-0.015079770998663866,-0.015194626875019508
SANDUSDT,0.0,NaN,NaN
SCUSDT,4.527E-4,Infinity,Infinity
SFPUSDT,0.0,NaN,NaN
SKLUSDT,0.0,NaN,NaN
SNXUSDT,0.09853333333333333,Infinity,Infinity
SOLUSDT,0.0,NaN,NaN
SRMUSDT,0.0,NaN,NaN
STMXUSDT,4.712333333333331E-4,0.2929158983071918,0.2569000538283317
STORJUSDT,0.0,NaN,NaN
STORMUSDT,-5.464E-4,-1.0,-Infinity
STPTUSDT,1.7400000000000228E-4,0.012351521461360315,0.012275863774797448
STRATUSDT,0.03227666666666651,0.07573067628127372,0.07300012955527099
STRAXUSDT,0.0,NaN,NaN
STXUSDT,-0.0021100000000000008,-0.014832692848439466,-0.014943797257567783
SUNUSDT,0.0,NaN,NaN
SUSDUSDT,0.0,NaN,NaN
SUSHIUSDT,0.0,NaN,NaN
SXPUSDT,0.0,NaN,NaN
TCTUSDT,-4.066333333333349E-4,-0.0524751367906674,-0.05390210151566394
TFUELUSDC,0.0,NaN,NaN
TFUELUSDT,7.93000000000009E-5,0.008975292479844299,0.008935253935724786
THETAUSDT,-0.008248999999999923,-0.034419977412193714,-0.03502629853068573
TOMOUSDC,0.0,NaN,NaN
TOMOUSDT,0.049903333333333466,0.10915069372042696,0.103594581662218
TRBUSDT,0.0,NaN,NaN
TROYUSDT,3.897666666666591E-5,0.010863021690740382,0.010804442917115298
TRUUSDT,0.0,NaN,NaN
TRXUSDC,2.5000000000000716E-5,0.0015191719500091683,0.0015180191756629378
TRXUSDT,2.2000000000001185E-5,0.0013366005791937141,0.001335708123788658
TUSDUSDT,3.0000000000196536E-5,2.9988004798253698E-5,2.9987555167026814E-5
TWTUSDT,0.0,NaN,NaN
UMAUSDT,0.0,NaN,NaN
UNFIUSDT,0.0,NaN,NaN
UNIUSDT,0.0,NaN,NaN
USDCUSDT,-2.3333333333042106E-5,-2.3324081447451128E-5,-2.332435345806842E-5
USDSBUSDT,0.0,NaN,NaN
USDSUSDC,0.0,NaN,NaN
USDSUSDT,-0.2330066666666667,-0.33325228717039246,-0.4053435462526948
UTKUSDT,0.0,NaN,NaN
VENUSDT,0.0,NaN,NaN
VETUSDT,0.0018647666666666667,0.21799427961313356,0.19720547273573524
VITEUSDT,9.366666666666551E-5,0.005992237812939782,0.00597435575606986
VTHOUSDT,0.0,NaN,NaN
WANUSDT,9.733333333332983E-4,0.0044312249605438225,0.004421435990650123
WAVESUSDC,-0.26763,-0.7716015568689636,-1.47666361763754
WAVESUSDT,0.0017500000000001403,0.001485329191386997,0.0014842271810806924
WINGUSDT,0.0,NaN,NaN
WINUSDC,-3.3400000000000324E-6,-0.04249363867684519,-0.04342291426987009
WINUSDT,-3.363333333333349E-6,-0.04280865507000442,-0.04375196505942583
WNXMUSDT,0.0,NaN,NaN
WRXUSDT,0.0012426666666666697,0.009722866993892021,0.00967590408662887
WTCUSDT,6.200000000000094E-4,0.0017122814769809924,0.0017108171943238765
XEMUSDT,0.0,NaN,NaN
XLMUSDC,0.0,NaN,NaN
XLMUSDT,-0.0012406666666666955,-0.017215461538106158,-0.017365370589619417
XMRUSDT,-0.660333333333341,-0.010075015893197814,-0.010126112353960676
XRPBEARUSDT,0.0,NaN,NaN
XRPBULLUSDT,0.0,NaN,NaN
XRPUSDC,-0.003715666666666645,-0.019554116328309723,-0.019747827452594485
XRPUSDT,-0.0036703333333333865,-0.01931706940531308,-0.019506082063483213
XTZUSDT,-0.12011333333333285,-0.04514090717764707,-0.04619149617038071
XVSUSDT,0.0,NaN,NaN
XZCUSDT,-0.0803333333333347,-0.017680028170667605,-0.017838186807569358
YFIIUSDT,0.0,NaN,NaN
YFIUSDT,0.0,NaN,NaN
ZECUSDC,0.3970000000000127,0.007535160920922213,0.00750691340683289
ZECUSDT,0.3990000000000009,0.0075745111687655076,0.007545968599106857
ZENUSDT,0.9430333333333334,Infinity,Infinity
ZILUSDT,-2.2333333333333233E-4,-0.010852135603103386,-0.010911449538930019
ZRXUSDT,0.01914333333333318,0.056004134729779276,0.05449210074021046
