ativo,retornoBruto,retornoPercentual,LN
1INCHUSDT,2.334628571428572,0.9714204194208,0.6787543080228905
AAVEUSDT,82.20000000000005,0.324020421057611,0.2806728811553964
ADAUSDC,0.05378714285714287,0.15739002846740036,0.14616749466118303
ADAUSDT,0.05448285714285711,0.15958256969027462,0.14806008664010734
AIONUSDT,-6.714285714285728E-4,-0.008770292965105453,-0.008808978338580499
AKROUSDT,0.004765857142857141,0.2694967283302365,0.23862054502673216
ALGOUSDC,0.0,NaN,NaN
ALGOUSDT,0.11647142857142845,0.2099232710232244,0.1905569452204994
ALPHAUSDT,0.921737142857143,0.7793122606983685,0.5762269192495464
ANKRUSDC,0.0,NaN,NaN
ANKRUSDT,0.0023087142857142855,0.2134930909667363,0.19350305269219764
ANTUSDT,0.3677142857142859,0.0972300393226384,0.09278885787153637
ARDRUSDT,0.002438571428571429,0.03043703082930649,0.02998301402702608
ARPAUSDT,0.0018257142857142881,0.07194325602341833,0.06947312843364398
ASRUSDT,-0.11528571428571466,-0.029642962092271574,-0.030091194892404416
ATMUSDT,-0.2145714285714284,-0.04599601898637262,-0.04708743457229803
ATOMUSDC,0.8242857142857147,0.1047243951576311,0.09959588771339589
ATOMUSDT,0.8268571428571443,0.10520193391253785,0.10002806389597516
AUDIOUSDT,0.00361285714285714,0.01675078488256565,0.016612037757262468
AUDUSDT,-0.006201428571428469,-0.008096282536200983,-0.008129235416061724
AVAUSDT,0.07035714285714278,0.04193345139976845,0.041078075072609174
AVAXUSDT,1.1940285714285732,0.09768063707100683,0.09319944201014824
AXSUSDT,0.12157999999999991,0.1536728101362732,0.1429506011396041
BALUSDT,9.177285714285716,0.43179969752982705,0.358932182728233
BANDUSDT,1.4483142857142877,0.16106109493330045,0.14933432401279773
BATUSDC,0.003757142857142959,0.0121069833816696,0.01203428008187903
BATUSDT,0.003714285714285781,0.011976047904191933,0.011904902506318678
BCCUSDT,0.0,NaN,NaN
BCHABCUSDC,0.0,NaN,NaN
BCHABCUSDT,0.0,NaN,NaN
BCHSVUSDC,0.0,NaN,NaN
BCHSVUSDT,0.0,NaN,NaN
BCHUSDC,-2.9714285714285893,-0.0070295681209086025,-0.007054391937101175
BCHUSDT,-2.4542857142857883,-0.00581913268503198,-0.0058361298087222626
BCPTUSDC,0.0,NaN,NaN
