ativo,retornoBruto,retornoPercentual,LN,
WINUSDT,-3.240000000000003E-6,-0.028214804063860677,-0.02862049077923936,
WNXMUSDT,0.0,NaN,NaN,
WRXUSDT,0.019268333333333332,0.2760624859712213,0.24377915392047908,
WTCUSDT,0.0,NaN,NaN,
XEMUSDT,0.0,NaN,NaN,
XLMUSDT,-0.0011106666666666765,-0.015862663232612872,-0.015989821783297914,
XMRUSDT,-1.6453333333333262,-0.02042048999247048,-0.02063187081588929,
XRPUSDC,-0.0030110000000000414,-0.010997761000500539,-0.011058683459561413,
XRPUSDT,-0.0030953333333332833,-0.011313807694509959,-0.011378295681281568,
XTZUSDT,0.24595666666666682,0.09059666820552614,0.08672494849463691,
XVSUSDT,0.0,NaN,NaN,
YFIIUSDT,0.0,NaN,NaN,
YFIUSDT,0.0,NaN,NaN,
ZECUSDC,-3.4253333333333345,-0.05258202509364063,-0.054014915792629556,
ZECUSDT,-3.4263333333333463,-0.05262349550250622,-0.05405868878154523,
ZENUSDT,0.0,NaN,NaN,
ZILUSDT,6.666666666670443E-7,9.32227090519877E-5,9.321836408527716E-5,
ZRXUSDT,0.003076666666666561,0.011221065940478114,0.011158576808648018,
