ativo,retornoBruto,retornoPercentual,LN,
BNBUSDC,-3.126142857142863,-0.12416344432560655,-0.1325757857343843,
BNBUSDT,-3.1619999999999955,-0.12563629841203516,-0.13425885534656085,
BNTUSDT,0.0,NaN,NaN,
BTCUSDC,98.79428571428798,0.009821801257223761,0.0097738808880002,
BTCUSDT,77.20714285714166,0.007672124529036095,0.007642843451661197,
BTSUSDT,0.0,NaN,NaN,
BTTUSDC,-6.874285714285713E-5,-0.11511686323293702,-0.12229969154420091,
BTTUSDT,-7.030000000000014E-5,-0.11750799942690693,-0.12500555472217822,
BUSDUSDT,0.0,NaN,NaN,
BZRXUSDT,0.0,NaN,NaN,
CELOUSDT,0.0,NaN,NaN,
CELRUSDT,-0.0013857142857142853,-0.19234582589728333,-0.21362131442831267,
CHRUSDT,0.0,NaN,NaN,
CHZUSDT,0.0,NaN,NaN,
CKBUSDT,0.0,NaN,NaN,
COMPUSDT,0.0,NaN,NaN,
COSUSDT,-0.0038485714285714304,-0.15061217644099067,-0.1632393965494794,
COTIUSDT,0.0,NaN,NaN,
CRVUSDT,0.0,NaN,NaN,
CTKUSDT,0.0,NaN,NaN,
CTSIUSDT,0.0,NaN,NaN,
CTXCUSDT,0.0,NaN,NaN,
CVCUSDT,0.023131428571428577,1.2653954360737734,0.8177493291597635,
DASHUSDT,-8.564285714285703,-0.09601524712514797,-0.10094278502107851,
DATAUSDT,0.0,NaN,NaN,
DCRUSDT,0.0,NaN,NaN,
DENTUSDT,2.552714285714286E-4,1.259444601071328,0.8151190313439374,
DGBUSDT,0.0,NaN,NaN,
DIAUSDT,0.0,NaN,NaN,
DNTUSDT,0.0,NaN,NaN,
DOCKUSDT,0.003051571428571429,0.9850133726828372,0.6856256509843892,
DOGEUSDT,-8.109999999999975E-5,-0.0314101074483506,-0.03191398417828512,
DOTUSDT,0.0,NaN,NaN,
DUSKUSDT,-0.030242857142857182,-0.19434499219682388,-0.2160996581273796,
EGLDUSDT,0.0,NaN,NaN,
ENJUSDT,0.005641428571428589,0.08219206593681072,0.07898867477919291,
EOSUSDC,-0.20128571428571407,-0.05753674143584586,-0.05925834337563102,
EOSUSDT,-0.20565714285714343,-0.058832183607415045,-0.06063381694158836,
ETCUSDT,-0.2842571428571432,-0.041392939610159996,-0.04227402696989726,
ETHUSDC,-10.092857142857127,-0.05483545482769314,-0.05639624477039159,
ETHUSDT,-10.43285714285713,-0.0566514882360698,-0.05831948693329618,
EURUSDT,0.0,NaN,NaN,
FETUSDT,-0.009642857142857154,-0.1610978520286398,-0.17566120867141835,
FILUSDT,0.0,NaN,NaN,
FIOUSDT,0.0,NaN,NaN,
