ativo,retornoBruto,retornoPercentual,LN,
BNBUSDC,0.9024933333333465,0.03661604396392115,0.03596160414155933,
BNBUSDT,0.898379999999996,0.03640164583619199,0.03575475773639019,
BNTUSDT,-0.19294666666666593,-0.15509641947091823,-0.16853276401827819,
BTCUSDC,-198.96500000000196,-0.018425567307874147,-0.01859743248931699,
BTCUSDT,-198.1786666666685,-0.018355907931970616,-0.018526468024532027,
BTSUSDT,-0.0024990000000000012,-0.07214550353654436,-0.0748803510932167,
BTTUSDC,-2.9013333333333363E-5,-0.07937550156854167,-0.08270303657847064,
BTTUSDT,-2.897666666666659E-5,-0.07926723626979837,-0.08258544364732921,
BUSDUSDT,7.00000000000145E-5,7.001353595037507E-5,7.00110851171606E-5,
BZRXUSDT,-0.02997333333333324,-0.07008846798394308,-0.07266582422413749,
CELOUSDT,0.0,NaN,NaN,
CELRUSDT,-0.0015193333333333335,-0.20183323739095782,-0.22543772766415432,
CHRUSDT,-0.007003666666666658,-0.14650591992413553,-0.1584166728280941,
CHZUSDT,-9.047999999999955E-4,-0.07146411392554997,-0.0741462494214948,
CKBUSDT,0.0,NaN,NaN,
COMPUSDT,-16.678666666666686,-0.09582943907334496,-0.10073726279515158,
COSUSDT,-3.563333333333335E-4,-0.044133432416811225,-0.04513694932979749,
COTIUSDT,-0.009407666666666682,-0.15763956768229703,-0.1715472894486685,
CRVUSDT,-0.6622333333333339,-0.2891301500443877,-0.34126591803678813,
CTKUSDT,0.0,NaN,NaN,
CTSIUSDT,-0.007927999999999984,-0.13797984603157076,-0.14847662811794715,
CTXCUSDT,-0.013503333333333284,-0.1168816180501453,-0.1242960194710937,
CVCUSDT,-0.0037359999999999997,-0.11382840428989272,-0.12084467251318949,
DASHUSDT,-4.105333333333334,-0.05410534639546638,-0.05562407595729897,
DATAUSDT,-0.0041793333333333335,-0.0908471727096195,-0.09524207210428838,
DCRUSDT,-1.2329333333333352,-0.08632354760187744,-0.09027876100920658,
DENTUSDT,-2.041666666666663E-5,-0.0832608341036375,-0.08693229004832526,
DGBUSDT,-4.783333333333306E-4,-0.019448397370739223,-0.019640005837919867,
DIAUSDT,0.33199999999999963,0.22587082728592134,0.20365147085867985,
