ativo,retornoBruto,retornoPercentual,LN,
BNBUSDC,-0.16320000000000334,-0.005540312905466527,-0.005555717362366176,
BNBUSDT,-0.1649733333333394,-0.005602400705450816,-0.005618153013661382,
BNTUSDT,-0.11745333333333285,-0.12607880462007426,-0.13476507286094438,
BTCUSDC,1009.6246666666648,0.08056811689901289,0.07748693699441007,
BTCUSDT,1007.379666666664,0.080447952568663,0.07737572603936767,
BTSUSDT,-2.3066666666666374E-4,-0.012559667495507743,-0.012639206812650846,
BTTUSDC,-1.1969999999999928E-5,-0.03703398133347058,-0.037737154757255004,
BTTUSDT,-1.1973333333333241E-5,-0.037082537552263206,-0.03778757963423129,
BUSDUSDT,-1.700000000001145E-4,-1.701190833585109E-4,-1.7013355525109228E-4,
BZRXUSDT,-0.0010799999999999976,-0.009153576675330566,-0.009195728079553432,
CELOUSDT,0.0,NaN,NaN,
CELRUSDT,-1.2333333333332946E-5,-0.0029740374567960304,-0.0029784686941513893,
CHRUSDT,-5.170000000000036E-4,-0.018956708792686294,-0.01913869071939534,
CHZUSDT,-8.443333333333324E-5,-0.008144144607598824,-0.008177489319470207,
CKBUSDT,0.0,NaN,NaN,
COMPUSDT,-3.4696666666666687,-0.03386251992582712,-0.03444913597863217,
COSUSDT,-2.9966666666666596E-4,-0.04497923650372726,-0.04602219685684421,
COTIUSDT,2.1933333333333527E-4,0.006852667645619315,0.006829294835335237,
CRVUSDT,-0.01589999999999986,-0.03520295202951995,-0.035837512745986545,
CTKUSDT,0.20194999999999996,0.6704179530591241,0.5130738664089167,
CTSIUSDT,-4.6199999999999714E-4,-0.013707029550219518,-0.013801838240348108,
CTXCUSDT,-0.0023000000000000104,-0.02717712395131766,-0.02755325237168012,
CVCUSDT,0.013765000000000003,0.5112538998662903,0.4129397035002208,
DASHUSDT,0.21999999999999886,0.0031743436082667387,0.003169316016321597,
DATAUSDT,-2.2433333333333333E-4,-0.005450098798224889,-0.005465004770698106,
DCRUSDT,0.9419666666666711,0.0768001521925239,0.07399382124609855,
DENTUSDT,-9.706666666666619E-6,-0.04686871288084826,-0.048002622886383274,
DGBUSDT,-0.0010246666666666633,-0.04634264005306621,-0.047450833528984535,
DIAUSDT,-0.04703333333333326,-0.037732317154699824,-0.038462610426671026,
DNTUSDT,0.005811,Infinity,Infinity,
DOCKUSDT,3.8666666666669486E-5,0.0039599904414027165,0.003952170317533391,
DOGEUSDT,2.0373333333333337E-5,0.007804598992757317,0.007774300652199354,
DOTUSDT,0.05091666666666583,0.012175175872507493,0.012101654573673013,
DUSKUSDT,8.833333333333401E-4,0.02089740556738451,0.020682049870556125,
EGLDUSDT,0.049866666666666504,0.006385739653052891,0.006365437202532463,
ENJUSDT,-0.005060333333333333,-0.03547111794421265,-0.03611550197761004,
EOSUSDC,-0.031503333333334105,-0.012198899762760007,-0.012273917050316724,
EOSUSDT,-0.03153333333333297,-0.012220264453756569,-0.012295545819547947,
ETCUSDT,-0.03997000000000028,-0.0075683938922663785,-0.007597179517931036,
