ativo,retornoBruto,retornoPercentual,LN,
BNBUSDC,-1.5825857142857167,-0.06692834418185412,-0.06927327956389409,
BNBUSDT,-1.0409000000000006,-0.044156691014671234,-0.045161282099268674,
BNTUSDT,0.0,NaN,NaN,
BTCUSDC,-113.06999999999971,-0.02117169350276249,-0.021399028239183167,
BTCUSDT,8.632857142857574,0.0016204591345574393,0.0016191476073137581,
BTSUSDT,0.0,NaN,NaN,
BTTUSDC,-7.302857142857139E-5,-0.10358032946325446,-0.10934659336847949,
BTTUSDT,-5.7028571428571436E-5,-0.08125712424686538,-0.08474898276745767,
BUSDUSDT,0.0,NaN,NaN,
BZRXUSDT,0.0,NaN,NaN,
CELOUSDT,0.0,NaN,NaN,
CELRUSDT,-0.005952857142857143,-0.36402550886695206,-0.4525968247277447,
CHRUSDT,0.0,NaN,NaN,
CHZUSDT,0.0,NaN,NaN,
CKBUSDT,0.0,NaN,NaN,
COMPUSDT,0.0,NaN,NaN,
COSUSDT,0.0,NaN,NaN,
COTIUSDT,0.0,NaN,NaN,
CRVUSDT,0.0,NaN,NaN,
CTKUSDT,0.0,NaN,NaN,
CTSIUSDT,0.0,NaN,NaN,
CTXCUSDT,0.0,NaN,NaN,
CVCUSDT,0.0,NaN,NaN,
DASHUSDT,-6.528571428571425,-0.05512599365508253,-0.056703686996313014,
DATAUSDT,0.0,NaN,NaN,
DCRUSDT,0.0,NaN,NaN,
DENTUSDT,0.0,NaN,NaN,
DGBUSDT,0.0,NaN,NaN,
DIAUSDT,0.0,NaN,NaN,
DNTUSDT,0.0,NaN,NaN,
DOCKUSDT,0.0,NaN,NaN,
DOGEUSDT,0.0,NaN,NaN,
DOTUSDT,0.0,NaN,NaN,
DUSKUSDT,0.0,NaN,NaN,
EGLDUSDT,0.0,NaN,NaN,
ENJUSDT,-0.025048571428571365,-0.14058466028447236,-0.15150295846899722,
EOSUSDC,-0.4897999999999998,-0.09552839299098093,-0.10040436545317727,
EOSUSDT,-0.37649999999999917,-0.07364508962877048,-0.07649784522699063,
ETCUSDT,-0.1966000000000001,-0.03348279998150927,-0.0340561843012164,
ETHUSDC,-12.177142857142854,-0.07242694853472231,-0.07518372591445478,
ETHUSDT,-8.462857142857104,-0.05049050106964159,-0.051809744640439546,
EURUSDT,0.0,NaN,NaN,
FETUSDT,-0.06729999999999997,-0.32473978079547794,-0.39265715246684363,
FILUSDT,0.0,NaN,NaN,
FIOUSDT,0.0,NaN,NaN,
FIROUSDT,0.0,NaN,NaN,
FLMUSDT,0.0,NaN,NaN,
FTMUSDT,0.0,NaN,NaN,
FTTUSDT,0.0,NaN,NaN,
FUNUSDT,0.0,NaN,NaN,
GBPUSDT,0.0,NaN,NaN,
GRTUSDT,0.0,NaN,NaN,
GTOUSDT,0.0,NaN,NaN,
GXSUSDT,0.0,NaN,NaN,
HARDUSDT,0.0,NaN,NaN,
HBARUSDT,0.0,NaN,NaN,
HIVEUSDT,0.0,NaN,NaN,
HNTUSDT,0.0,NaN,NaN,
HOTUSDT,-7.224285714285705E-5,-0.05340979901355036,-0.05488901336322146,
ICXUSDT,-0.029485714285714337,-0.07875758385164278,-0.08203206764451589,
INJUSDT,0.0,NaN,NaN,
IOSTUSDT,-0.001253428571428572,-0.10082623734500873,-0.10627897881045943,
IOTAUSDT,-0.00957142857142862,-0.032533747693503146,-0.033074736023522316,
IOTXUSDT,0.0,NaN,NaN,
IRISUSDT,0.0,NaN,NaN,
JSTUSDT,0.0,NaN,NaN,
JUVUSDT,0.0,NaN,NaN,
KAVAUSDT,0.0,NaN,NaN,
KEYUSDT,0.0,NaN,NaN,
KMDUSDT,0.0,NaN,NaN,
KNCUSDT,0.0,NaN,NaN,
KSMUSDT,0.0,NaN,NaN,
LINKUSDC,-0.046271428571428685,-0.09439571008072767,-0.09915283444276862,
LINKUSDT,-0.0337285714285715,-0.0691523636576652,-0.07165967101402014,
LITUSDT,0.0,NaN,NaN,
LRCUSDT,0.0,NaN,NaN,
LSKUSDT,0.0,NaN,NaN,
LTCUSDC,-5.9557142857142935,-0.07771460527542184,-0.08090056457594637,
LTCUSDT,-4.217142857142846,-0.05520956068002003,-0.05679213341354195,
LTOUSDT,0.0,NaN,NaN,
