 ,BNBUSDC,BNBUSDT,BNTUSDT,BTCUSDC,BTCUSDT,BTSUSDT,BTTUSDC,BTTUSDT,BUSDUSDT,BZRXUSDT,CELOUSDT,CELRUSDT,CHRUSDT,CHZUSDT,CKBUSDT,COMPUSDT,COSUSDT,COTIUSDT,CRVUSDT,CTKUSDT,CTSIUSDT,CTXCUSDT,CVCUSDT,DASHUSDT,DATAUSDT,DCRUSDT,DENTUSDT,DGBUSDT,DIAUSDT,DNTUSDT,DOCKUSDT,DOGEUSDT,DOTUSDT,DUSKUSDT,EGLDUSDT,ENJUSDT,EOSUSDC,EOSUSDT,ETCUSDT,ETHUSDC,ETHUSDT,EURUSDT,FETUSDT,FILUSDT,FIOUSDT,FIROUSDT,FLMUSDT,FTMUSDT,FTTUSDT,FUNUSDT,GBPUSDT,GRTUSDT,GTOUSDT,GXSUSDT,HARDUSDT,HBARUSDT,HIVEUSDT,HNTUSDT,HOTUSDT,ICXUSDT,INJUSDT,IOSTUSDT,IOTAUSDT,IOTXUSDT,IRISUSDT,JSTUSDT,JUVUSDT,KAVAUSDT,KEYUSDT,KMDUSDT,KNCUSDT,KSMUSDT,LINKUSDC,LINKUSDT,LITUSDT,LRCUSDT,LSKUSDT,LTCUSDC,LTCUSDT,LTOUSDT,LUNAUSDT,MANAUSDT,MATICUSDT,MBLUSDT,MDTUSDT,MFTUSDT,MITHUSDT,MKRUSDT,MTLUSDT,NANOUSDT,NBSUSDT,NEARUSDT,NEOUSDC,NEOUSDT,NKNUSDT,NMRUSDT,NULSUSDT,OCEANUSDT,OGNUSDT,OGUSDT,OMGUSDT,ONEUSDT,ONGUSDT,ONTUSDT,ORNUSDT,OXTUSDT,PAXGUSDT,PAXUSDT,PERLUSDT,PNTUSDT,PSGUSDT,QTUMUSDT,REEFUSDT,RENUSDT,REPUSDT,RIFUSDT,RLCUSDT,ROSEUSDT,RSRUSDT,RUNEUSDT,RVNUSDT,SANDUSDT,SCUSDT,SFPUSDT,SKLUSDT,SNXUSDT,SOLUSDT,SRMUSDT,STMXUSDT,STORJUSDT,STPTUSDT,STRAXUSDT,STXUSDT,SUSDUSDT,SUSHIUSDT,SXPUSDT,TCTUSDT,TFUELUSDT,THETAUSDT,TOMOUSDT,TRBUSDT,TROYUSDT,TRUUSDT,TRXUSDC,TRXUSDT,TUSDUSDT,TWTUSDT,UMAUSDT,UNFIUSDT,UNIUSDT,USDCUSDT,UTKUSDT,VETUSDT,VITEUSDT,VTHOUSDT,WANUSDT,WAVESUSDT,WINGUSDT,WINUSDC,WINUSDT,WNXMUSDT,WRXUSDT,WTCUSDT,XEMUSDT,XLMUSDT,XMRUSDT,XRPUSDC,XRPUSDT,XTZUSDT,XVSUSDT,YFIIUSDT,YFIUSDT,ZECUSDC,ZECUSDT,ZENUSDT,ZILUSDT,ZRXUSDT,
BNBUSDC,0.0,5.605084441425287,0.0,1639.6278728965515,1659.5866732988504,0.0,1.420025424367816E-4,1.4327543519540228E-4,0.002141594114942555,0.0,0.0,-1.4994487126436767E-4,0.0,0.0030375242565517232,0.0,0.0,0.0031161725563218397,0.0,0.0,0.0,0.0,-0.10599620156321836,0.013783229597701148,19.71454159540229,0.0,0.0,7.96300816321839E-5,0.0,0.0,0.0,0.001820487329425287,4.556954960689655E-4,0.0,0.014932781195402296,0.0,0.0029701701678160886,0.8948366866896552,0.8964919625747128,1.1023879514022987,41.07341102068966,41.448107181609195,0.0,-0.009575070972413792,0.0,0.0,0.0,0.0,0.0017151394252873562,0.0,8.527466864367815E-4,0.0,0.0,0.0029265697563218384,0.0,0.0,0.010612472397701148,0.0,0.0,2.0993004705747122E-4,0.03683087390804597,0.0,0.001251601088045977,0.061762871609195386,-0.0025905271554022983,0.0,0.0,0.0,0.015455090781609202,-4.790365696551724E-4,0.0,0.0,0.0,0.7261208268505744,0.7334343205057471,0.0,0.0,0.0,15.976381781609197,16.11608141149425,0.0,0.0,0.0,-0.010229836354022989,0.0,0.0,-2.7836500459770104E-5,0.003325984620689655,0.0,0.06440745377011493,0.17884881379310347,0.0,0.0,2.8428256535632186,2.867617349195403,0.00896603311724138,0.0,0.11520670694252874,0.0,0.0,0.0,0.26978861213793104,-1.0170279540229893E-4,0.038038790022988496,0.2752395669195402,0.0,0.0,0.0,0.0021386334712643353,0.005801480393103449,0.0,0.0,0.5296026701149423,0.0,0.019103779645977002,0.0,0.0,-0.3945793077471264,0.0,0.0,0.0,0.00544379607586207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09315836285057467,0.0,0.0,0.0,0.0,6.928457795402298E-4,0.018671603593103443,0.11461873163218389,0.0,-7.094069237701152E-4,0.0,0.004689599783908046,0.004726095933333332,0.002128144574712617,0.0,0.0,0.0,0.0,0.0022053495632183865,0.0,8.430374436781596E-5,0.0,0.0,0.0359650791954023,0.20540298142528732,0.0,7.569109917241379E-5,7.663030227586206E-5,0.0,0.0,0.0,0.0,0.019513645563218395,11.483559816091944,0.05736331037011493,0.0582338628045977,-0.11323629606896551,0.0,0.0,0.0,9.600971744827586,9.62518980229885,0.0,0.0011594726436781608,0.05293250177011494,
BNBUSDT,5.605084441425287,0.0,0.0,1662.1559327241373,1682.5578292183905,0.0,1.4410643197701147E-4,1.4540789818390804E-4,0.0021923307816092224,0.0,0.0,-1.551561356321837E-4,0.0,0.003082773656551723,0.0,0.0,0.0031563647747126435,0.0,0.0,0.0,0.0,-0.10790693581609195,0.01399682333333333,20.00612782528735,0.0,0.0,8.06426403678161E-5,0.0,0.0,0.0,0.001845163816781609,4.6305474951724136E-4,0.0,0.015140726942528734,0.0,0.0030091716735632166,0.9075000294482758,0.9092919469425289,1.117752408183908,41.71469215862071,42.09888782528735,0.0,-0.00975038948965517,0.0,0.0,0.0,0.0,0.0017347181264367815,0.0,8.656825439080459E-4,0.0,0.0,0.0029680469747126433,0.0,0.0,0.01076854102988506,0.0,0.0,2.135010562528736E-4,0.0373766916091954,0.0,0.001269682751264368,0.062713028045977,-0.002605350947356322,0.0,0.0,0.0,0.01682795066666668,-4.8775798344827584E-4,0.0,0.0,0.0,0.7395036857011492,0.7469597328045976,0.0,0.0,0.0,16.210900321839077,16.354464112643676,0.0,0.0,0.0,-0.01043019130804598,0.0,0.0,-2.6786711954022965E-5,0.003377082965517241,0.0,0.06542787767816093,0.18114476448275857,0.0,0.0,2.9002140685057474,2.925500506666666,0.00910367484137931,0.0,0.11683029774712642,0.0,0.0,0.0,0.2739976183448276,-9.825609425287355E-5,0.03860372335632184,0.2794361633563219,0.0,0.0,0.0,0.0021868919770114616,0.005880118806896552,0.0,0.0,0.5370333022988505,0.0,0.019411762209195396,0.0,0.0,-0.3963595148735632,0.0,0.0,0.0,0.005505972420689653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09449662066666666,0.0,0.0,0.0,0.0,7.038309094252869E-4,0.01900501959310345,0.11627992450574712,0.0,-7.194884428505748E-4,0.0,0.00475862151954023,0.004796085990804596,0.0021775385977011235,0.0,0.0,0.0,0.0,0.002253445540229881,0.0,9.182730183908056E-5,0.0,0.0,0.03666034494252873,0.20857748154022984,0.0,7.688032848275861E-5,7.7835314E-5,0.0,0.0,0.0,0.0,0.01979503774712643,11.654670528735634,0.05811775869195402,0.059008338885057465,-0.11502244572413793,0.0,0.0,0.0,9.7456218137931,9.773499101149426,0.0,0.001177876459770115,0.0536505311954023,
BNTUSDT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BTCUSDC,1639.6278728965515,1662.1559327241373,0.0,0.0,536777.5250396553,0.0,0.0443455456724138,0.04472779325862069,0.5724769137931114,0.0,0.0,-0.015063431034482691,0.0,0.927167342413793,0.0,0.0,1.0092955379310344,0.0,0.0,0.0,0.0,-31.64139039655172,4.270317639655172,6137.020356896551,0.0,0.0,0.025502678241379313,0.0,0.0,0.0,0.5821134267241381,0.13716737460344827,0.0,4.807626586206896,0.0,1.0270704379310345,280.3888131034483,280.6829191034483,355.7514951896551,12641.557153448271,12738.512758620689,0.0,-2.5864852465517236,0.0,0.0,0.0,0.0,0.6299887913793104,0.0,0.2615511117241379,0.0,0.0,0.9340823758620687,0.0,0.0,3.2285470465517236,0.0,0.0,0.062070444086206905,11.878355620689655,0.0,0.3920751470689654,19.208159517241373,-0.9708354137931038,0.0,0.0,0.0,1.2402412068965531,-0.138113188275862,0.0,0.0,0.0,201.84433220689647,203.399719775862,0.0,0.0,0.0,5015.166870689656,5051.281777586208,0.0,0.0,0.0,-2.776276470689655,0.0,0.0,-0.01170804913793104,1.0563338086206897,0.0,20.59235332758621,59.31397156896552,0.0,0.0,764.3389253448274,772.188940689655,2.751953796551723,0.0,35.24533913793103,0.0,0.0,0.0,80.6915565689655,-0.010083832758620704,11.758203568965518,83.97693255172413,0.0,0.0,0.0,0.5722010344827485,1.9571669948275863,0.0,0.0,162.81347551724133,0.0,5.60899075,0.0,0.0,-151.83789615517244,0.0,0.0,0.0,1.7780805189655178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.027902103448277,0.0,0.0,0.0,0.0,0.2212351703448276,5.7063001655172405,35.78400318965517,0.0,-0.20196405020689645,0.0,1.466961281034482,1.4757364258620684,0.5744965172413679,0.0,0.0,0.0,0.0,0.6019860517241364,0.0,-0.05160363741379325,0.0,0.0,10.920380810344822,63.18127631034483,0.0,0.022462758413793107,0.0227498034137931,0.0,0.0,0.0,0.0,5.960884967241382,3566.2811913793103,18.634192439655173,18.867679036206894,-35.080142844827584,0.0,0.0,0.0,2978.6385275862067,2987.4701844827587,0.0,0.3608869741379311,17.484556379310344,
BTCUSDT,1659.5866732988504,1682.5578292183905,0.0,536777.5250396553,0.0,0.0,0.0448437511091954,0.04523162624712645,0.5844176149425373,0.0,0.0,-0.016552954022988436,0.0,0.9365015306896549,0.0,0.0,1.0188682735632186,0.0,0.0,0.0,0.0,-32.12408368390805,4.320321585632184,6208.443497126438,0.0,0.0,0.025770020666666664,0.0,0.0,0.0,0.5880884251149425,0.1388061848448276,0.0,4.8597116436781596,0.0,1.0483269919540228,283.4038745862068,283.71489243678167,359.34928372988503,12789.748025862069,12888.959243678162,0.0,-2.6353768051724127,0.0,0.0,0.0,0.0,0.6329178063218395,0.0,0.2647831112643678,0.0,0.0,0.9439103321839081,0.0,0.0,3.2652177856321836,0.0,0.0,0.06280422935057473,12.007499218390805,0.0,0.39646317821839105,19.427047195402295,-0.9762837791954021,0.0,0.0,0.0,1.490268022988513,-0.14029636000000004,0.0,0.0,0.0,204.78619109195398,206.38797290229886,0.0,0.0,0.0,5069.5316212643675,5106.3749304597695,0.0,0.0,0.0,-2.821881238505748,0.0,0.0,-0.011707361321839076,1.067648246551724,0.0,20.79581061494253,59.84283043103448,0.0,0.0,776.5810568390807,784.5207895402301,2.782634579310345,0.0,35.62738314942529,0.0,0.0,0.0,81.65903284482755,-0.010751838505747086,11.888098281609194,84.89872581609194,0.0,0.0,0.0,0.5847948505747027,1.9753001465517246,0.0,0.0,164.52847459770118,0.0,5.680500654597701,0.0,0.0,-152.56570338505747,0.0,0.0,0.0,1.7959113948275864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.353622712643674,0.0,0.0,0.0,0.0,0.22363652402298845,5.781049710344828,36.16340037356321,0.0,-0.20358896680459776,0.0,1.4813358959770122,1.4903398488505748,0.5870494712643567,0.0,0.0,0.0,0.0,0.6147218218390793,0.0,-0.05059180235632179,0.0,0.0,11.043428454022989,63.90468321839081,0.0,0.022748646482758622,0.023037338206896553,0.0,0.0,0.0,0.0,6.0264536373563224,3604.6215798850576,18.82155223735633,19.059442033908038,-35.4908623275862,0.0,0.0,0.0,3013.4188275862066,3022.52342816092,0.0,0.36518104195402296,17.63026735632184,
BTSUSDT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BTTUSDC,1.420025424367816E-4,1.4410643197701147E-4,0.0,0.0443455456724138,0.0448437511091954,0.0,0.0,3.863515298850575E-9,5.351677011494332E-8,0.0,0.0,-3.960395402298848E-9,0.0,7.816313862068963E-8,0.0,0.0,8.361505977011493E-8,0.0,0.0,0.0,0.0,-2.7994991149425296E-6,3.713788563218391E-7,5.30554791954023E-4,0.0,0.0,2.141191908045977E-9,0.0,0.0,0.0,4.806009459770115E-8,1.2019323896551726E-8,0.0,3.988462298850575E-7,0.0,7.157138850574712E-8,2.3802705931034484E-5,2.386051243678161E-5,2.9981382885057474E-5,0.001091371182758621,0.001100422016091954,0.0,-2.698278655172415E-7,0.0,0.0,0.0,0.0,4.6497649425287356E-8,0.0,2.266220988505747E-8,0.0,0.0,7.831600459770115E-8,0.0,0.0,2.815066011494253E-7,0.0,0.0,5.381268816091955E-9,1.0099194252873563E-6,0.0,3.258161528735632E-8,1.6573622988505746E-6,-7.713844436781608E-8,0.0,0.0,0.0,5.631463678160925E-7,-1.2357467586206897E-8,0.0,0.0,0.0,1.8381116643678154E-5,1.8548842954022986E-5,0.0,0.0,0.0,4.305641091954024E-4,4.338526770114943E-4,0.0,0.0,0.0,-2.7620506781609195E-7,0.0,0.0,-6.681870114942528E-10,9.025339655172411E-8,0.0,1.7328198735632188E-6,4.7876074137931034E-6,0.0,0.0,6.985987735632184E-5,7.045406712643677E-5,2.3457155862068968E-7,0.0,3.0000061149425287E-6,0.0,0.0,0.0,7.058958310344827E-6,-2.5156678160919555E-9,1.008208747126437E-6,7.110224781609196E-6,0.0,0.0,0.0,5.384857471264293E-8,1.5639371379310345E-7,0.0,0.0,1.367660114942529E-5,0.0,4.97948483908046E-7,0.0,0.0,-1.1740147781609193E-5,0.0,0.0,0.0,1.4708083103448278E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5182998160919533E-6,0.0,0.0,0.0,0.0,1.8796268505747125E-8,5.045520896551725E-7,3.0340682873563228E-6,0.0,-2.1826433839080455E-8,0.0,1.2280444942528736E-7,1.2364521954022985E-7,5.410878160919451E-8,0.0,0.0,0.0,0.0,5.591070114942526E-8,0.0,-3.619835287356324E-9,0.0,0.0,9.546824712643677E-7,5.48402783908046E-6,0.0,1.998170965517242E-9,2.0198616551724135E-9,0.0,0.0,0.0,0.0,5.141156149425288E-7,2.9693793678160915E-4,1.5799522425287356E-6,1.602513683908046E-6,-3.067879758620689E-6,0.0,0.0,0.0,2.5604447586206896E-4,2.5701937816091956E-4,0.0,3.057176436781609E-8,1.4342968045977014E-6,
BTTUSDT,1.4327543519540228E-4,1.4540789818390804E-4,0.0,0.04472779325862069,0.04523162624712645,0.0,3.863515298850575E-9,0.0,5.419745977011575E-8,0.0,0.0,-3.917671264367812E-9,0.0,7.892516965517239E-8,0.0,0.0,8.435768045977013E-8,0.0,0.0,0.0,0.0,-2.8315994597701147E-6,3.7453458045977006E-7,5.349083781609195E-4,0.0,0.0,2.160771908045978E-9,0.0,0.0,0.0,4.856491528735634E-8,1.2113046655172418E-8,0.0,4.027393333333334E-7,0.0,7.31577333333333E-8,2.401775144827586E-5,2.407530312643679E-5,3.023018150574713E-5,0.0011011952517241382,0.0011103735678160919,0.0,-2.7018014137931034E-7,0.0,0.0,0.0,0.0,4.701864942528736E-8,0.0,2.2840313333333334E-8,0.0,0.0,7.912297011494255E-8,0.0,0.0,2.8369025632183906E-7,0.0,0.0,5.429722264367817E-9,1.0190790804597702E-6,0.0,3.29549808045977E-8,1.671952988505747E-6,-7.759231678160923E-8,0.0,0.0,0.0,5.65348781609196E-7,-1.2526302068965516E-8,0.0,0.0,0.0,1.8542103540229883E-5,1.871151502298851E-5,0.0,0.0,0.0,4.341484885057471E-4,4.37485332183908E-4,0.0,0.0,0.0,-2.7761324022988507E-7,0.0,0.0,-6.787697701149425E-10,9.104825862068966E-8,0.0,1.7487122873563219E-6,4.829548448275863E-6,0.0,0.0,7.055168425287357E-5,7.114847747126437E-5,2.368123862068966E-7,0.0,3.026936459770116E-6,0.0,0.0,0.0,7.118897620689654E-6,-2.4338057471264376E-9,1.0169318505747128E-6,7.1744123678160925E-6,0.0,0.0,0.0,5.453650574712568E-8,1.5812498965517242E-7,0.0,0.0,1.3800842528735635E-5,0.0,5.018602770114942E-7,0.0,0.0,-1.1813045367816097E-5,0.0,0.0,0.0,1.4844358965517246E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5388594712643675E-6,0.0,0.0,0.0,0.0,1.897482712643678E-8,5.091281586206896E-7,3.0603410459770117E-6,0.0,-2.195836211494253E-8,0.0,1.2392507011494256E-7,1.2477890919540226E-7,5.475740229884967E-8,0.0,0.0,0.0,0.0,5.6574494252873527E-8,0.0,-3.440597356321843E-9,0.0,0.0,9.644600574712645E-7,5.528903701149424E-6,0.0,2.013562344827586E-9,2.0354895862068963E-9,0.0,0.0,0.0,0.0,5.180025804597702E-7,2.998172471264368E-4,1.5923081045977011E-6,1.61511858045977E-6,-3.095461137931035E-6,0.0,0.0,0.0,2.5821106206896547E-4,2.5920692988505746E-4,0.0,3.0913557471264365E-8,1.445523701149425E-6,
BUSDUSDT,0.002141594114942555,0.0021923307816092224,0.0,0.5724769137931114,0.5844176149425373,0.0,5.351677011494332E-8,5.419745977011575E-8,0.0,0.0,0.0,-1.1550114942529045E-7,0.0,1.032244137931046E-6,0.0,0.0,1.025216091954037E-6,0.0,0.0,0.0,0.0,-5.246467816092024E-5,5.350419540229966E-6,0.007647518390804711,0.0,0.0,2.929016091954067E-8,0.0,0.0,0.0,6.637088505747236E-7,1.7574231034482986E-7,0.0,5.52445977011501E-6,0.0,1.8393356321838957E-6,3.28898551724142E-4,3.307130804597743E-4,3.9194987356322506E-4,0.016112300000000208,0.016359845977011702,0.0,-4.151996551724225E-6,0.0,0.0,0.0,0.0,4.353505747126458E-7,0.0,3.3808321839080856E-7,0.0,0.0,1.1228919540230024E-6,0.0,0.0,3.963812643678205E-6,0.0,0.0,8.191773563218504E-8,1.3714367816092175E-5,0.0,5.173709195402359E-7,2.344632183908078E-5,-5.979073563218616E-7,0.0,0.0,0.0,2.5846735632184097E-5,-2.242600000000018E-7,0.0,0.0,0.0,3.1081025287356694E-4,3.156973908046014E-4,0.0,0.0,0.0,0.00582502873563226,0.005912564367816172,0.0,0.0,0.0,-4.503863218390887E-6,0.0,0.0,5.62149425287331E-9,1.2057068965517452E-6,0.0,2.2994264367816372E-5,6.149155172413869E-5,0.0,0.0,0.001327212298850593,0.0013348432183908218,3.433165517241428E-6,0.0,4.1762850574713186E-5,0.0,0.0,0.0,1.0097237931034619E-4,-6.478045977011386E-8,1.4146425287356506E-5,1.0256245977011636E-4,0.0,0.0,0.0,1.3655632183908154E-6,2.0280103448276166E-6,0.0,0.0,1.9222643678161135E-4,0.0,7.4093436781610224E-6,0.0,0.0,-8.612187356322196E-5,0.0,0.0,0.0,1.9354793103448598E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.431673563218451E-5,0.0,0.0,0.0,0.0,2.612901149425327E-7,8.241875862069071E-6,4.143205747126502E-5,0.0,-3.3751650574714176E-7,0.0,1.6310678160919747E-6,1.6579183908046185E-6,1.3653563218390962E-6,0.0,0.0,0.0,0.0,1.3772298850574945E-6,0.0,2.244318390804542E-7,0.0,0.0,1.3566494252873673E-5,7.717250574712765E-5,0.0,2.984834482758661E-8,3.003937931034524E-8,0.0,0.0,0.0,0.0,6.983316091954114E-6,0.004262270114942572,1.943720574712676E-5,1.994510919540263E-5,-4.270472413793228E-5,0.0,0.0,0.0,0.003649696551724188,0.003688656321839131,0.0,4.6330459770115654E-7,1.6910436781609415E-5,
BZRXUSDT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
