ativo,retornoBruto,retornoPercentual,LN,
BNBUSDC,-0.2762285714285717,-0.012526520709637556,-0.012605638982322925,
BNBUSDT,-0.26011428571429107,-0.011820214332269763,-0.011890628489351851,
BNTUSDT,0.0,NaN,NaN,
BTCUSDC,156.46285714285477,0.015403727616572382,0.015286294606329453,
BTCUSDT,160.94571428571362,0.015871513182307284,0.015746877755878866,
BTSUSDT,0.0,NaN,NaN,
BTTUSDC,2.7000000000000114E-5,0.05109627186460863,0.04983368795153563,
BTTUSDT,2.618571428571431E-5,0.04959818167059016,0.04840740680392908,
BUSDUSDT,0.0,NaN,NaN,
BZRXUSDT,0.0,NaN,NaN,
CELOUSDT,0.0,NaN,NaN,
CELRUSDT,-3.2000000000000084E-4,-0.05499631721090115,-0.056566454364666556,
CHRUSDT,0.0,NaN,NaN,
CHZUSDT,0.008292571428571429,Infinity,Infinity,
CKBUSDT,0.0,NaN,NaN,
COMPUSDT,0.0,NaN,NaN,
COSUSDT,-0.001027142857142855,-0.047324425722372054,-0.04848085901769334,
COTIUSDT,0.0,NaN,NaN,
CRVUSDT,0.0,NaN,NaN,
CTKUSDT,0.0,NaN,NaN,
CTSIUSDT,0.0,NaN,NaN,
CTXCUSDT,0.0,NaN,NaN,
CVCUSDT,0.0011514285714285602,0.02780460880364255,0.027425079710365893,
DASHUSDT,3.404285714285706,0.042219584359442175,0.04135265468030791,
DATAUSDT,0.0,NaN,NaN,
DCRUSDT,0.0,NaN,NaN,
DENTUSDT,-2.360000000000003E-5,-0.05153320647596471,-0.05290849968323972,
DGBUSDT,0.0,NaN,NaN,
DIAUSDT,0.0,NaN,NaN,
DNTUSDT,0.0,NaN,NaN,
DOCKUSDT,4.357142857142858E-4,0.07085278881222856,0.06845532992878511,
DOGEUSDT,-6.968571428571466E-5,-0.027864572920296538,-0.02826015595568024,
DOTUSDT,0.0,NaN,NaN,
DUSKUSDT,-0.02372857142857139,-0.1892661804922513,-0.20981549143111305,
EGLDUSDT,0.0,NaN,NaN,
ENJUSDT,0.002765714285714288,0.03723434945667847,0.03655789162019255,
EOSUSDC,0.37900000000000045,0.11494950107670387,0.10880911337226885,
EOSUSDT,0.38095714285714344,0.11579244463742966,0.10956486515473447,
ETCUSDT,-0.07008571428571475,-0.010646424138260335,-0.010703502795603476,
ETHUSDC,4.4557142857142935,0.0256128105111888,0.025290297854298798,
ETHUSDT,4.451428571428551,0.025623314255641017,0.025300539234435863,
EURUSDT,0.0,NaN,NaN,
FETUSDT,0.002600000000000005,0.05177809388335719,0.050482154691866774,
FILUSDT,0.0,NaN,NaN,
FIOUSDT,0.0,NaN,NaN,
FIROUSDT,0.0,NaN,NaN,
FLMUSDT,0.0,NaN,NaN,
FTMUSDT,-0.0016671428571428566,-0.09249425378457632,-0.09705538094535547,
FTTUSDT,0.0,NaN,NaN,
FUNUSDT,8.314285714285715E-5,0.03201848489849812,0.03151657862230888,
GBPUSDT,0.0,NaN,NaN,
GRTUSDT,0.0,NaN,NaN,
GTOUSDT,-3.1428571428571313E-4,-0.025498377375985037,-0.025829094952259813,
GXSUSDT,0.0,NaN,NaN,
HARDUSDT,0.0,NaN,NaN,
HBARUSDT,0.0,NaN,NaN,
HIVEUSDT,0.0,NaN,NaN,
HNTUSDT,0.0,NaN,NaN,
HOTUSDT,2.0514285714285686E-5,0.025654309959803445,0.025330760111219076,
ICXUSDT,-0.006042857142857155,-0.029279435176853386,-0.029716632928310983,
INJUSDT,0.0,NaN,NaN,
IOSTUSDT,-2.19142857142857E-4,-0.030464312666322435,-0.03093799493700911,
IOTAUSDT,-0.008042857142857157,-0.03264714409973912,-0.03319195256938423,
IOTXUSDT,0.0,NaN,NaN,
IRISUSDT,0.0,NaN,NaN,
JSTUSDT,0.0,NaN,NaN,
JUVUSDT,0.0,NaN,NaN,
KAVAUSDT,0.0,NaN,NaN,
KEYUSDT,2.5571428571428186E-5,0.017876760211724463,0.01771885010414151,
KMDUSDT,0.0,NaN,NaN,
KNCUSDT,0.0,NaN,NaN,
KSMUSDT,0.0,NaN,NaN,
LINKUSDC,-0.0362142857142862,-0.020096080669711025,-0.02030075362360656,
LINKUSDT,-0.035742857142856854,-0.01986991637481217,-0.02006997773343162,
LITUSDT,0.0,NaN,NaN,
LRCUSDT,0.0,NaN,NaN,
LSKUSDT,0.0,NaN,NaN,
LTCUSDC,3.0114285714285813,0.0455036048871047,0.04449868788357645,
LTCUSDT,3.0242857142857105,0.04577099368675941,0.044754406382996985,
LTOUSDT,0.0,NaN,NaN,
LUNAUSDT,0.0,NaN,NaN,
MANAUSDT,0.0,NaN,NaN,
MATICUSDT,2.2285714285714096E-4,0.01671309192200532,0.01657496509421238,
MBLUSDT,0.0,NaN,NaN,
MDTUSDT,0.0,NaN,NaN,
MFTUSDT,6.871428571428545E-5,0.0667221528644748,0.06459053809511091,
MITHUSDT,-0.0012257142857142848,-0.06864549163933109,-0.07111529184198077,
MKRUSDT,0.0,NaN,NaN,
MTLUSDT,-0.02755714285714278,-0.06837031261076043,-0.07081987438089903,
NANOUSDT,-0.05821428571428566,-0.06014493823151734,-0.062029605214524317,
NBSUSDT,0.0,NaN,NaN,
NEARUSDT,0.0,NaN,NaN,
NEOUSDC,0.006285714285715116,7.00904804384006E-4,7.006592853285604E-4,
NEOUSDT,0.004857142857140673,5.421782809755804E-4,5.420313554355587E-4,
NKNUSDT,0.0,NaN,NaN,
NMRUSDT,0.0,NaN,NaN,
NULSUSDT,-0.014128571428571324,-0.03252005787189238,-0.03306058594363858,
OCEANUSDT,0.0,NaN,NaN,
OGNUSDT,0.0,NaN,NaN,
OGUSDT,0.0,NaN,NaN,
OMGUSDT,-0.02351428571428582,-0.02184704414536387,-0.022089224596607195,
ONEUSDT,-7.285714285714187E-5,-0.008440913604766509,-0.008476739862692262,
ONGUSDT,-0.0010857142857142454,-0.006165328141477855,-0.006184412257348678,
ONTUSDT,0.02059999999999995,0.028787606556067935,0.028381027924058572,
ORNUSDT,0.0,NaN,NaN,
OXTUSDT,0.0,NaN,NaN,
PAXGUSDT,0.0,NaN,NaN,
PAXUSDT,1.4285714285688922E-4,1.4303491482237085E-4,1.4302468630428692E-4,
PERLUSDT,-0.012071428571428566,-0.1361804995970991,-0.14639144357385991,
PNTUSDT,0.0,NaN,NaN,
PSGUSDT,0.0,NaN,NaN,
QTUMUSDT,-0.07185714285714306,-0.03420140069354738,-0.0347999558373353,
REEFUSDT,0.0,NaN,NaN,
RENUSDT,0.0,NaN,NaN,
REPUSDT,0.0,NaN,NaN,
RIFUSDT,0.0,NaN,NaN,
RLCUSDT,0.0,NaN,NaN,
ROSEUSDT,0.0,NaN,NaN,
RSRUSDT,0.0,NaN,NaN,
RUNEUSDT,0.0,NaN,NaN,
RVNUSDT,0.0,NaN,NaN,
SANDUSDT,0.0,NaN,NaN,
SCUSDT,0.0,NaN,NaN,
SFPUSDT,0.0,NaN,NaN,
SKLUSDT,0.0,NaN,NaN,
SNXUSDT,0.0,NaN,NaN,
SOLUSDT,0.0,NaN,NaN,
SRMUSDT,0.0,NaN,NaN,
STMXUSDT,0.0,NaN,NaN,
STORJUSDT,0.0,NaN,NaN,
STPTUSDT,0.0,NaN,NaN,
STRAXUSDT,0.0,NaN,NaN,
STXUSDT,0.0,NaN,NaN,
SUSDUSDT,0.0,NaN,NaN,
SUSHIUSDT,0.0,NaN,NaN,
SXPUSDT,0.0,NaN,NaN,
TCTUSDT,0.0,NaN,NaN,
TFUELUSDT,-1.671428571428579E-4,-0.03582363747703632,-0.03648105242938597,
THETAUSDT,-0.003964285714285726,-0.035087941128124855,-0.035718312498525966,
TOMOUSDT,-0.06004285714285712,-0.13023270225885408,-0.1395295769717724,
TRBUSDT,0.0,NaN,NaN,
TROYUSDT,0.0,NaN,NaN,
TRUUSDT,0.0,NaN,NaN,
TRXUSDC,-3.6142857142856984E-4,-0.023228057289753856,-0.023502080277284086,
TRXUSDT,-3.614285714285733E-4,-0.023251539380571784,-0.02352612107130808,
TUSDUSDT,9.999999999987796E-5,1.0012014417282167E-4,1.0011513248569818E-4,
TWTUSDT,0.0,NaN,NaN,
UMAUSDT,0.0,NaN,NaN,
UNFIUSDT,0.0,NaN,NaN,
UNIUSDT,0.0,NaN,NaN,
USDCUSDT,4.2857142857155583E-4,4.291599908448074E-4,4.2906792803477776E-4,
UTKUSDT,0.0,NaN,NaN,
VETUSDT,-2.837142857142847E-4,-0.0686176277510967,-0.07108537469315904,
VITEUSDT,0.0,NaN,NaN,
VTHOUSDT,0.0,NaN,NaN,
WANUSDT,-0.08672857142857149,-0.24342421812349657,-0.27895257644631366,
WAVESUSDT,-0.07658571428571403,-0.06809348405944349,-0.07052277411221781,
WINGUSDT,0.0,NaN,NaN,
WINUSDC,-6.232857142857146E-5,-0.20362159891725407,-0.22768082784953947,
WINUSDT,-6.199999999999999E-5,-0.2029270117361014,-0.2268090256348133,
WNXMUSDT,0.0,NaN,NaN,
WRXUSDT,0.0,NaN,NaN,
WTCUSDT,0.0,NaN,NaN,
XEMUSDT,0.0,NaN,NaN,
XLMUSDT,-0.0025271428571428597,-0.04076036866359456,-0.04161435904937616,
XMRUSDT,3.221428571428575,0.0447340752643377,0.043762379601660926,
XRPUSDC,-0.0012242857142857333,-0.004733263742757954,-0.0047445011092220974,
XRPUSDT,-9.914285714285875E-4,-0.00384187421460247,-0.0038492731699931084,
XTZUSDT,0.0,NaN,NaN,
XVSUSDT,0.0,NaN,NaN,
YFIIUSDT,0.0,NaN,NaN,
YFIUSDT,0.0,NaN,NaN,
ZECUSDC,0.8514285714285705,0.018880476446922367,0.018704452411951497,
ZECUSDT,0.769999999999996,0.017020335985853174,0.01687711291945747,
ZENUSDT,0.0,NaN,NaN,
ZILUSDT,-2.1285714285714484E-4,-0.030377166156982938,-0.030848114188791284,
ZRXUSDT,-0.004342857142857148,-0.0263180676997663,-0.026670586884658645,
