ativo,retornoBruto,retornoPercentual,LN,
BNBUSDC,-0.004285714285707343,-2.4143159277212334E-4,-2.4146074207091975E-4,
BNBUSDT,-0.03555714285714018,-0.001998946316766559,-0.002000946876407341,
BNTUSDT,0.05335714285714288,0.03483556865451698,0.03424254323081871,
BTCUSDC,88.81142857142913,0.00961858462545817,0.009572620544914886,
BTCUSDT,78.69857142857109,0.008520466581733555,0.00848437228824356,
BTSUSDT,-2.1428571428575016E-5,-8.782201405154177E-4,-8.786060017536364E-4,
BTTUSDC,-1.5457142857142915E-5,-0.03819542502118056,-0.03894399346573364,
BTTUSDT,-1.541428571428578E-5,-0.038117780054403694,-0.03886326830088467,
BUSDUSDT,-9.71428571428401E-4,-9.710124232470418E-4,-9.714841612104303E-4,
BZRXUSDT,0.0,NaN,NaN,
CELOUSDT,0.0,NaN,NaN,
CELRUSDT,8.128571428571429E-4,0.1671071953010279,0.15452820452814942,
CHRUSDT,0.013665714285714288,0.39067222086090014,0.329787242370087,
CHZUSDT,-3.2642857142857126E-4,-0.02639573971605802,-0.026750361513194203,
CKBUSDT,0.0,NaN,NaN,
COMPUSDT,-7.0442857142857065,-0.04196667177313651,-0.04287271223555339,
COSUSDT,4.657142857142846E-4,0.049710277523635105,0.04851419992683633,
COTIUSDT,0.005455714285714279,0.17218990937373158,0.15887371674275438,
CRVUSDT,0.0,NaN,NaN,
CTKUSDT,0.0,NaN,NaN,
CTSIUSDT,0.0036071428571428574,0.07692073356485718,0.07410579617586469,
CTXCUSDT,0.006728571428571417,0.057841090507184,0.05623012414692449,
CVCUSDT,0.002222857142857141,0.07763696237900408,0.07477064617443087,
DASHUSDT,-0.6757142857142924,-0.009449794222240127,-0.009494726820911514,
DATAUSDT,0.0016771428571428562,0.030197026596018306,0.029750071905635236,
DCRUSDT,0.0,NaN,NaN,
DENTUSDT,-7.828571428571433E-6,-0.03627697603601221,-0.03695134519519008,
DGBUSDT,0.012668571428571428,Infinity,Infinity,
DIAUSDT,0.0,NaN,NaN,
DNTUSDT,0.0,NaN,NaN,
DOCKUSDT,0.0016227142857142864,0.14146408289329493,0.13231172165982896,
DOGEUSDT,-7.255714285714279E-5,-0.021617089375321807,-0.021854161416789596,
DOTUSDT,0.0,NaN,NaN,
DUSKUSDT,0.017371428571428565,0.4123431671753135,0.3452501457856667,
EGLDUSDT,0.0,NaN,NaN,
ENJUSDT,0.01469999999999999,0.08054037976863215,0.07746126763960903,
EOSUSDC,0.011071428571428399,0.004300013316170137,0.004290794676311955,
EOSUSDT,0.009971428571428298,0.0038762272868628767,0.0038687340752255337,
ETCUSDT,-0.14692857142857285,-0.02325528811911437,-0.02352995905609898,
ETHUSDC,7.697142857142865,0.032168700594655375,0.03166212326814151,
ETHUSDT,7.532857142857154,0.03147383248973368,0.030988684801892735,
EURUSDT,0.01398571428571449,0.012384566729918056,0.012308505331149806,
FETUSDT,0.009907142857142844,0.22350779940698695,0.20172197854883428,
FILUSDT,0.0,NaN,NaN,
FIOUSDT,0.0,NaN,NaN,
FIROUSDT,0.0,NaN,NaN,
FLMUSDT,0.0,NaN,NaN,
FTMUSDT,0.003245714285714286,0.30072799470549305,0.26292410365558694,
FTTUSDT,-0.11185714285714266,-0.03651030495197238,-0.0371934865164863,
FUNUSDT,1.3271428571428505E-4,0.03451991676575483,0.033937470570819785,
GBPUSDT,0.7219142857142857,Infinity,Infinity,
GRTUSDT,0.0,NaN,NaN,
GTOUSDT,6.871428571428567E-4,0.08147018970189701,0.07832140218633124,
GXSUSDT,-0.0010999999999998789,-0.002147658494407456,-0.002149968020219395,
HARDUSDT,0.0,NaN,NaN,
HBARUSDT,-1.2142857142857094E-4,-0.002956830277942024,-0.0029612103367795102,
HIVEUSDT,-0.004271428571428537,-0.019107873210633786,-0.019292787961190352,
HNTUSDT,0.0,NaN,NaN,
HOTUSDT,2.4857142857142764E-5,0.03484529888855503,0.03425194587273391,
ICXUSDT,0.0032857142857142807,0.008180104563075608,0.008146828850452648,
INJUSDT,0.0,NaN,NaN,
IOSTUSDT,-1.299999999999999E-4,-0.021023449231835523,-0.021247588967122776,
IOTAUSDT,0.009328571428571436,0.03761304072346072,0.036922922101739766,
IOTXUSDT,2.445714285714282E-4,0.038399425802978504,0.03768051400430228,
IRISUSDT,0.0,NaN,NaN,
JSTUSDT,0.0,NaN,NaN,
JUVUSDT,0.0,NaN,NaN,
KAVAUSDT,0.8229571428571434,0.44923343263097193,0.3710347494876791,
KEYUSDT,3.742857142857146E-4,0.3096194753013475,0.2697366181472824,
KMDUSDT,0.0,NaN,NaN,
KNCUSDT,0.07585714285714285,0.04759770527070639,0.046499643185777484,
KSMUSDT,0.0,NaN,NaN,
LINKUSDC,0.33478571428571335,0.04513318478317374,0.044144326849046324,
LINKUSDT,0.3340714285714279,0.04507413089905388,0.04408782156012832,
LITUSDT,0.0,NaN,NaN,
LRCUSDT,0.013598571428571446,0.11902618350964089,0.11245882808163032,
LSKUSDT,0.030399999999999983,0.0249393509674547,0.024633441051921473,
LTCUSDC,-0.5885714285714201,-0.013420632593895365,-0.013511503226935923,
LTCUSDT,-0.6157142857142972,-0.014043204848327107,-0.014142743644142974,
LTOUSDT,0.004114285714285723,0.06077359724830678,0.05899845066790563,
LUNAUSDT,0.0,NaN,NaN,
MANAUSDT,0.0,NaN,NaN,
MATICUSDT,-3.642857142857128E-4,-0.01682169008509793,-0.016964781678593853,
MBLUSDT,6.914285714285746E-5,0.033543558112135496,0.03299324546552676,
MDTUSDT,4.8285714285714425E-4,0.04011869436201798,0.03933483583528835,
MFTUSDT,0.0010411428571428568,0.9380872699189082,0.6617015433726224,
MITHUSDT,0.002571428571428571,0.3794266441821248,0.3216679376050216,
MKRUSDT,75.61714285714287,Infinity,Infinity,
MTLUSDT,0.02194285714285721,0.06663774403470746,0.06451140580249204,
