Day,fitnessDummie,futureDummie,pastDummie,bestFitness,future,past
0,0.9689775,5.837263550242651E-4,Infinity,8.949718E-26,1.8285921953177387E-16,Infinity
1,0.9479774,7.446466159096584E-4,-3.4585667980677464E-4,2.313155E-28,3.39064735050227E-17,-8.620268332576027E-18
2,0.47209743,7.5154060473424E-4,-2.947664923712549E-4,2.78016E-29,1.817166615339132E-17,-2.45654751663567E-18
3,0.5092353,0.001505496454272746,1.2356381694236663E-4,2.6199658E-27,9.600414137328868E-17,5.440976005892453E-18
4,0.76077193,-3.847327769876354E-4,9.16962309108018E-4,2.2151551E-27,-5.011185091896429E-16,2.760235902863678E-16
5,0.18602547,4.5492014305310125E-4,6.670718941775283E-4,4.9136855E-27,7.691127789246665E-17,1.1238158833995814E-16
6,-0.059209213,Infinity,5.03671220697076E-4,-463.7358,Infinity,0.04453564564061294
